"title","price","priceAfterDiscount","sold","store","shopBadge"
"New! Terlaris! Smart Home Wifi Fan Light Switch EU/US Ceiling Fan Lamp Switch Tuya Speed Control Wor","Rp470.000","Rp470.000","N/A","Dikest Store","N/A"
"Terlaris! New Arrival! Reflector Smart Tuya Outdoor Lighting With Lamp Alexa Spotlight Wifi","Rp1.253.400","Rp1.253.400","N/A","nolanzz","N/A"
"BARDI Smart PIR Motion Sensor Zigbee","Rp200.000","Rp162.000","2 terjual","Smart Home Nusantara","Power Shop"
"AMC S01 Pro CRI 95+ Tuya Zigbee Dimmable COB LED Spotlight Lampu Sorot","Rp399.000","Rp399.000","80+ terjual","amc_shop","Power Shop"
"GES Smart WiFi Wall Light Touch Switch No Neutral Wire 2 Gang Tuya","Rp185.000","Rp159.000","1rb+ terjual","Graha Smart Indonesia","Power Shop"
"AMC S03 Pro Tuya Zigbee Dimmable COB LED Spotlight Lampu Sorot CRI 95","Rp349.000","Rp349.000","100+ terjual","amc_shop","Power Shop"
"Philips Lampu LED 9W Putih Smart WiFi - Tunable 9 Watt White","Rp129.660","Rp129.660","100+ terjual","Gudang Listrik","Mall"
"Terlaris! New! AVATTO Tuya Smart WiFi Fan Light Switch,EU/US Ceiling Fan Lamp Switch APP Remote Cont","Rp355.000","Rp355.000","N/A","anugrah martt","N/A"
"Terlaris! New! Tuya Smart WIFI RGBIC LED Strip Light Waterproof Outdoor RGB Lamp Music Sync APP Cont","Rp675.000","Rp675.000","N/A","ASDL Store","N/A"
"New! Terlaris! Tuya WIFI Zigbee Smart Light Bulb E27/E14/E12/GU10/MR16 RGB CW Dimmable LED Lamp For","Rp256.000","Rp256.000","N/A","Begalunk","N/A"
"Terlaris! New! 15W TUYA Smart WiFi E27/E26 RGBCW LED Light Bulb Lightbulbs Alexa Lamp Google Home Ya","Rp280.000","Rp280.000","N/A","Babaga","N/A"
"3 Way US Smart Wifi Light Switch Button Tuya Smart Home Wireless Lamp Switches SmartLife Voice Control Apply For Stairs Bedroom","Rp477.500","Rp477.500","N/A","gugungunawwn","N/A"
"Tuya Smart Waterproof Floodlight LED Lamp Outdoor Motion-Activated","Rp5.147.000","Rp5.147.000","N/A","SyakilaStore_","N/A"
"Shawader WiFi Tuya Smart Wall Light EU&US Fan Switch Lamp Controller","Rp871.500","Rp871.500","N/A","kumoiraga","N/A"
"Best Seller! SMATRUL Lampu Pintar Tuya Zigbee 10W Smart Light Bulb E27 RGB LED Lamp Dimmable Timing with Smart Life APP Voice Control for Google Home Alexa Tmall Genie | 2.022.0119 | DP001W-Zig-10W-E27 Low Price","Rp173.250","Rp173.250","N/A","Primee Point","N/A"
"Terlaris! New! Tuya Smart Wifi COB LED Strip Light RGBIC Flexible Addressable RGB Tape Ambient Lamp","Rp1.207.500","Rp1.207.500","N/A","meocaycu","N/A"
"New NEW Tuya eWelink Smart Bulb WiFi E27 9W LED RGB Lamp Dimmable Timer","Rp680.000","Rp680.000","N/A","jukri shop","N/A"
"Lampu Smart WiFi LED PHILIPS Tunable White 8w 8 watt","Rp57.900","Rp57.900","250+ terjual","Smart Home Devices","Power Shop"
"Bardi Smart Wall Switch Saklar Pintar Touch WiFi Smart Home EU 1 Black","Rp156.000","Rp156.000","24 terjual","Hebros Indonesia Official","Power Shop"
"Saklar Lampu Rumah Dinding Luxury WiFi Remote Tuya Touch Sentuh Control Wireless","Rp129.999","Rp129.999","1 terjual","insideflow id","Power Shop"
"Smart Wi-fi LED Philips 9Watt Tunable Wi Fi","Rp162.500","Rp162.500","3 terjual","Gudang led jogja","Power Shop"
"Saklar Lampu Rumah Pintar Sentuh Smart Switch Home WiFi","Rp179.000","Rp166.470","N/A","CMAG store","Power Shop"
